imdb_title_id,companies
20686,Metro-Goldwyn-Mayer (MGM)
20690,Paramount Pictures
20691,Fox Film Corporation
20693,Metro-Goldwyn-Mayer (MGM)
20695,Metro-Goldwyn-Mayer (MGM)
20697,Universum Film (UFA)
20701,Pool Films
20702,Fox Film Corporation
20713,First National Pictures
20724,Metro-Goldwyn-Mayer (MGM)
20740,Warner Bros.
20754,Christie Film Company
20758,RKO Radio Pictures
20763,Metro-Goldwyn-Mayer (MGM)
20768,F.W. Murnau Production
20785,RKO Radio Pictures
20793,British Instructional Films (BIF)
20799,RKO Radio Pictures
20806,RKO Radio Pictures
20814,Les Films Marcel Vandal et Charles Delac
20815,First National Pictures
20821,Howard Productions (II)
20823,Paramount Pictures
20827,Metro-Goldwyn-Mayer (MGM)
20828,RKO Radio Pictures
20836,Warner Bros.
20838,Metro-Goldwyn-Mayer (MGM)
20842,Universum Film (UFA)
20852,British International Pictures (BIP)
20866,Tiffany Productions
20869,RKO Radio Pictures
20873,Paramount Pictures
20875,Columbia Pictures
20876,The Harold Lloyd Corporation
20890,First National Pictures
20891,Cosmopolitan Productions
20894,Paramount Pictures
20896,Paramount Pictures
20900,RKO Radio Pictures
20902,Metro-Goldwyn-Mayer (MGM)
20919,Metro-Goldwyn-Mayer (MGM)
20924,First National Pictures
20926,Warner Bros.
20929,Metro-Goldwyn-Mayer (MGM)
20938,Warner Bros.
20945,RKO Radio Pictures
20949,Fox Film Corporation
20959,Inspiration Pictures
20960,The Caddo Company
20966,Pathé Exchange
20980,Shochiku Kinema (Kamata)
20985,Pathé Exchange
20987,RKO Radio Pictures
21001,RKO Radio Pictures
21013,Gainsborough Pictures
21016,Fox Film Corporation
21025,Universal Pictures
21040,Columbia Pictures
21042,Metro-Goldwyn-Mayer (MGM)
21044,Metro-Goldwyn-Mayer (MGM)
21048,First National Pictures
21053,Paramount Pictures
21060,Metro-Goldwyn-Mayer (MGM)
21061,Paramount Pictures
21069,Warner Bros.
21070,Paramount Pictures
21074,Fox Film Corporation
21079,First National Pictures
21087,First National Pictures
21090,Metro-Goldwyn-Mayer (MGM)
21092,RKO Radio Pictures
21094,Joseph M. Schenck Productions
21100,Metro-Goldwyn-Mayer (MGM)
21102,RKO Radio Pictures
